Czas (s),Kana³ 1 (g),Kana³ 2 (g),Kana³ 3 (g),Kana³ 4 (g)
0.000000000000000000e+00,-3.244718268315890247e-02,-1.024863457249070887e-02,-1.397430853080565590e-02,1.811753010000000455e-02
1.000050002500124966e-04,-3.627963501427212273e-02,-1.477919962825277947e-02,-1.177451914691941479e-02,2.818858559999999971e-02
2.000100005000249933e-04,-3.790552388201712947e-02,-1.132464377323418904e-02,-1.536364919431277946e-02,2.098625500000000227e-02
3.000150007500375035e-04,-3.540862312083729868e-02,-1.296697360594794256e-02,-1.773710616113741839e-02,2.104729170000000163e-02
4.000200010000499865e-04,-3.993788496669839483e-02,-1.081495520446096141e-02,-1.953167118483408946e-02,2.593022770000000254e-02
5.000250012500625238e-04,-4.278319048525214968e-02,-1.291034154275091592e-02,-1.999478473933647207e-02,2.171869540000000154e-02
6.000300015000750069e-04,-3.953141274976213621e-02,-1.506235994423791615e-02,-2.028423071090045687e-02,2.214595230000000053e-02
7.000350017500874900e-04,-4.249285318744053241e-02,-1.296697360594794256e-02,-1.993689554502367858e-02,2.446534690000000054e-02
8.000400020000999731e-04,-4.301546032350143239e-02,-1.868681198884758823e-02,-2.045789829383883388e-02,2.556400750000000291e-02
9.000450022501124562e-04,-3.900880561370123623e-02,-1.064505901486987975e-02,-1.987900635071086775e-02,1.909411730000000473e-02
1.000050002500125048e-03,-4.138957145575642566e-02,-1.381645455390333350e-02,-1.414797611374405371e-02,2.226802570000000273e-02
1.100055002750137531e-03,-3.291172235965747483e-02,-1.291034154275091592e-02,-1.773710616113741839e-02,2.098625500000000227e-02
1.200060003000150014e-03,-2.896313510941960281e-02,-8.776200929368016199e-03,-1.183240834123220654e-02,2.031485130000000236e-02
1.300065003250162497e-03,-2.472421056137013434e-02,-7.133871096654261813e-03,-1.229552189573456834e-02,2.647955800000000373e-02
1.400070003500174980e-03,-2.071755585156993817e-02,-7.530295539033453507e-03,-1.067462445497627255e-02,1.939930080000000501e-02
1.500075003750187463e-03,-2.106596060894387265e-02,-4.811956505576199007e-03,-5.927710521326994692e-03,1.695783280000000282e-02
1.600080004000199946e-03,-2.455000818268315843e-02,-7.926719981412625252e-03,-1.113773800947865517e-02,2.080314490000000419e-02
1.700085004250212429e-03,-1.961427411988582795e-02,-7.360399349442371848e-03,-6.911826824644530000e-03,2.208491560000000464e-02
1.800090004500224912e-03,-1.311071864890581140e-02,-1.357400650557608144e-03,-9.748397345971550679e-03,2.654059470000000309e-02
1.900095004750237395e-03,-6.897500475737399980e-03,-1.681273234200730154e-04,-2.917472417061596143e-03,3.142353070000000054e-02
2.000100005000250095e-03,2.741697811607988686e-03,5.891503438661717384e-03,2.987225402843615707e-03,2.385497990000000346e-02
2.100105005250262578e-03,3.903047002854417424e-03,6.344559944237916638e-03,7.039469004739362136e-03,1.805649340000000172e-02
2.200110005500275061e-03,9.416065651760190461e-04,8.156785966542753549e-03,5.302793175355462012e-03,2.263424590000000236e-02
2.300115005750287545e-03,8.838781065651758750e-03,5.438446933085498182e-03,8.255142085308067937e-03,2.428223680000000245e-02
2.400120006000300028e-03,9.942062797335856836e-03,4.135909479553908849e-03,6.807912227488171694e-03,2.483156710000000711e-02
2.500125006250312511e-03,6.690285061845863308e-03,1.474202509293681207e-03,1.132326938388627906e-02,2.403809000000000154e-02
2.600130006500324994e-03,9.012983444338722519e-03,3.966013289962826323e-03,9.355036777251208441e-03,1.933826410000000218e-02
2.700135006750337477e-03,7.154824738344431334e-03,4.079277416356881340e-03,1.045493146919432986e-02,2.635748460000000154e-02
2.800140007000349960e-03,1.011626517602283969e-02,2.946636152416353283e-03,1.091804502369671075e-02,2.354979640000000318e-02
